boite,ligne,colonne,concentration,date_ponte,data_comptage,entree1,entree2,nb_oeufs,compteur,test
P25,3,2,"0,45",16/08/19,19/08/19,12,12,12,JL,OK
P25,3,3,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P25,3,4,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P26,1,1,"1,5",16/08/19,20/08/19,2,2,2,JL,OK
P26,1,2,"0,3",16/08/19,20/08/19,0,0,0,JL,OK
P26,1,3,0,16/08/19,20/08/19,0,0,0,JL,OK
P26,1,4,"0,6",16/08/19,20/08/19,4,4,4,JL,OK
P26,2,1,"1,65",16/08/19,20/08/19,0,0,0,JL,OK
P26,2,2,"0,15",16/08/19,20/08/19,1,1,1,JL,OK
P26,2,3,"1,35",16/08/19,20/08/19,3,3,3,JL,OK
P26,2,4,"0,9",16/08/19,20/08/19,0,0,0,JL,OK
P26,3,1,"0,45",16/08/19,20/08/19,1,1,1,JL,OK
P26,3,2,"1,2",16/08/19,20/08/19,9,9,9,JL,OK
P26,3,3,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P26,3,4,"1,05",16/08/19,20/08/19,7,7,7,JL,OK
P27,1,1,"0,45",16/08/19,20/08/19,2,2,2,JL,OK
P27,1,2,"1,05",16/08/19,20/08/19,3,3,3,JL,OK
P27,1,3,"1,65",16/08/19,20/08/19,0,0,0,JL,OK
P27,1,4,"1,5",16/08/19,20/08/19,26,26,26,JL,OK
P27,2,1,"0,15",16/08/19,20/08/19,0,0,0,JL,OK
P27,2,2,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P27,2,3,"0,6",16/08/19,20/08/19,4,4,4,JL,OK
P27,2,4,"1,2",16/08/19,20/08/19,6,6,6,JL,OK
P27,3,1,"1,35",16/08/19,20/08/19,5,5,5,JL,OK
P27,3,2,"0,3",16/08/19,20/08/19,0,0,0,JL,OK
P27,3,3,0,16/08/19,20/08/19,0,0,0,JL,OK
P27,3,4,"0,9",16/08/19,20/08/19,0,0,0,JL,OK
P28,1,1,0,16/08/19,20/08/19,2,2,2,JL,OK
P28,1,2,"1,2",16/08/19,20/08/19,0,0,0,JL,OK
P28,1,3,"0,45",16/08/19,20/08/19,3,3,3,JL,OK
P28,1,4,"0,15",16/08/19,20/08/19,4,4,4,JL,OK
P28,2,1,"0,9",16/08/19,20/08/19,5,5,5,JL,OK
P28,2,2,"1,65",16/08/19,20/08/19,0,0,0,JL,OK
P28,2,3,"1,35",16/08/19,20/08/19,0,0,0,JL,OK
P28,2,4,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P28,3,1,"0,6",16/08/19,20/08/19,18,18,18,JL,OK
P28,3,2,"0,3",16/08/19,20/08/19,0,0,0,JL,OK
P28,3,3,"1,05",16/08/19,20/08/19,0,0,0,JL,OK
P28,3,4,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P29,1,1,"0,9",16/08/19,19/08/19,4,4,4,JL,OK
P29,1,2,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P29,1,3,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P29,1,4,"0,15",16/08/19,19/08/19,1,1,1,JL,OK
P29,2,1,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P29,2,2,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P29,2,3,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P29,2,4,"1,5",16/08/19,19/08/19,1,1,1,JL,OK
P29,3,1,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P29,3,2,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P29,3,3,0,16/08/19,19/08/19,0,0,0,JL,OK
P29,3,4,"0,45",16/08/19,19/08/19,9,9,9,JL,OK
P31,1,1,"0,3",16/08/19,20/08/19,4,4,4,JL,OK
P31,1,2,"1,5",16/08/19,20/08/19,1,1,1,JL,OK
P31,1,3,"0,9",16/08/19,20/08/19,3,3,3,JL,OK
P31,1,4,0,16/08/19,20/08/19,8,8,8,JL,OK
P31,2,1,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P31,2,2,"1,65",16/08/19,20/08/19,10,10,10,JL,OK
P31,2,3,"1,35",16/08/19,20/08/19,6,6,6,JL,OK
P31,2,4,"0,45",16/08/19,20/08/19,9,9,9,JL,OK
P31,3,1,"0,6",16/08/19,20/08/19,1,1,1,JL,OK
P31,3,2,"1,2",16/08/19,20/08/19,4,4,4,JL,OK
P31,3,3,"0,15",16/08/19,20/08/19,0,0,0,JL,OK
P31,3,4,"1,05",16/08/19,20/08/19,0,0,0,JL,OK
P32,1,1,"1,2",16/08/19,19/08/19,6,6,6,JL,OK
P32,1,2,"0,15",16/08/19,19/08/19,2,2,2,JL,OK
P32,1,3,"1,65",16/08/19,19/08/19,1,1,1,JL,OK
P32,1,4,"0,6",16/08/19,19/08/19,1,1,1,JL,OK
P32,2,1,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P32,2,2,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P32,2,3,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P32,2,4,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P32,3,1,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P32,3,2,"1,35",16/08/19,19/08/19,9,9,9,JL,OK
P32,3,3,"0,9",16/08/19,19/08/19,1,1,1,JL,OK
P32,3,4,0,16/08/19,19/08/19,4,4,4,JL,OK
P34,1,1,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P34,1,2,"0,45",16/08/19,19/08/19,1,1,1,JL,OK
P34,1,3,"0,6",16/08/19,19/08/19,1,1,1,JL,OK
P34,1,4,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P34,2,1,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P34,2,2,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P34,2,3,"0,9",16/08/19,19/08/19,13,13,13,JL,OK
P34,2,4,"0,75",16/08/19,19/08/19,9,9,9,JL,OK
P34,3,1,0,16/08/19,19/08/19,2,2,2,JL,OK
P34,3,2,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P34,3,3,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P34,3,4,"1,35",16/08/19,19/08/19,10,10,10,JL,OK
P35,1,1,"0,75",16/08/19,19/08/19,7,7,7,JL,OK
P35,1,2,"0,15",16/08/19,19/08/19,1,1,1,JL,OK
P35,1,3,0,16/08/19,19/08/19,0,0,0,JL,OK
P35,1,4,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P35,2,1,"1,35",16/08/19,19/08/19,5,5,5,JL,OK
P35,2,2,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P35,2,3,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P35,2,4,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P35,3,1,"1,05",16/08/19,19/08/19,10,10,10,JL,OK
P35,3,2,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P35,3,3,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P35,3,4,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P36,1,1,"0,45",16/08/19,20/08/19,0,0,0,JL,OK
P36,1,2,"0,75",16/08/19,20/08/19,0,0,0,JL,OK
P36,1,3,"0,6",16/08/19,20/08/19,0,0,0,JL,OK
P36,1,4,"1,05",16/08/19,20/08/19,0,0,0,JL,OK
P36,2,1,"0,15",16/08/19,20/08/19,0,0,0,JL,OK
P36,2,2,"0,3",16/08/19,20/08/19,0,0,0,JL,OK
P36,2,3,"1,2",16/08/19,20/08/19,14,14,14,JL,OK
P36,2,4,0,16/08/19,20/08/19,7,7,7,JL,OK
P36,3,1,"0,9",16/08/19,20/08/19,8,8,8,JL,OK
P36,3,2,"1,35",16/08/19,20/08/19,3,3,3,JL,OK
P36,3,3,"1,65",16/08/19,20/08/19,19,19,19,JL,OK
P36,3,4,"1,5",16/08/19,20/08/19,25,25,25,JL,OK
P37,1,1,"1,35",16/08/19,19/08/19,15,15,15,JL,OK
P37,1,2,"1,5",16/08/19,19/08/19,4,4,4,JL,OK
P37,1,3,"1,05",16/08/19,19/08/19,1,1,1,JL,OK
P37,1,4,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P37,2,1,"1,65",16/08/19,19/08/19,11,11,11,JL,OK
P37,2,2,"1,2",16/08/19,19/08/19,2,2,2,JL,OK
P37,2,3,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P37,2,4,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P37,3,1,0,16/08/19,19/08/19,4,4,4,JL,OK
P37,3,2,"0,45",16/08/19,19/08/19,9,9,9,JL,OK
P37,3,3,"0,15",16/08/19,19/08/19,2,2,2,JL,OK
P37,3,4,"0,6",16/08/19,19/08/19,9,9,9,JL,OK
